ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
10225462,HY412465,09/06/2015 06:30:00 AM,069XX S WINCHESTER AVE,1025,ARSON,AGGRAVATED,RESIDENCE,False,False,735,7,17.0,67,09,1164555.0,1858601.0,2015,02/10/2018 03:50:01 PM,41.767610987,-87.672391655,"(41.767610987, -87.672391655)"
10226156,HY413388,09/06/2015 10:00:00 PM,009XX N KILDARE AVE,1020,ARSON,BY FIRE,VEHICLE NON-COMMERCIAL,True,False,1111,11,37.0,23,09,1147536.0,1906072.0,2015,02/10/2019 03:56:51 PM,41.898219905,-87.733559614,"(41.898219905, -87.733559614)"
10227069,HY414707,09/08/2015 01:00:00 AM,006XX E 88TH ST,1090,ARSON,ATTEMPT ARSON,RESIDENCE-GARAGE,False,True,632,6,6.0,44,09,1182098.0,1846775.0,2015,02/10/2018 03:50:01 PM,41.734771251,-87.608454453,"(41.734771251, -87.608454453)"
10228410,HY416032,09/08/2015 09:40:00 PM,071XX S MARSHFIELD AVE,1090,ARSON,ATTEMPT ARSON,RESIDENCE,False,False,735,7,17.0,67,09,1166578.0,1857366.0,2015,02/10/2018 03:50:01 PM,41.764179084,-87.665011627,"(41.764179084, -87.665011627)"
10084844,HY273807,05/25/2015 12:10:00 AM,003XX S CICERO AVE,1020,ARSON,BY FIRE,APARTMENT,False,False,1533,15,24.0,25,09,1144444.0,1898051.0,2015,02/10/2018 03:50:01 PM,41.876268094,-87.745118351,"(41.876268094, -87.745118351)"
10229973,HY417406,09/09/2015 04:49:00 AM,082XX S KENWOOD AVE,1025,ARSON,AGGRAVATED,RESIDENTIAL YARD (FRONT/BACK),False,False,411,4,8.0,45,09,1186638.0,1850688.0,2015,02/10/2018 03:50:01 PM,41.745402793,-87.591698509,"(41.745402793, -87.591698509)"
10230215,HY417526,09/10/2015 03:35:00 AM,038XX W 62ND ST,1020,ARSON,BY FIRE,STREET,False,False,823,8,13.0,65,09,1151911.0,1863220.0,2015,02/10/2018 03:50:01 PM,41.78054353,-87.718616915,"(41.78054353, -87.718616915)"
10230951,HY418636,09/10/2015 10:08:00 PM,005XX N PINE AVE,1020,ARSON,BY FIRE,ALLEY,False,False,1523,15,37.0,25,09,1139442.0,1902944.0,2015,02/10/2018 03:50:01 PM,41.889787714,-87.763364941,"(41.889787714, -87.763364941)"
10231597,HY419023,09/11/2015 04:44:00 AM,039XX W 16TH ST,1090,ARSON,ATTEMPT ARSON,GROCERY FOOD STORE,False,False,1014,10,24.0,29,09,1150173.0,1891753.0,2015,02/10/2018 03:50:01 PM,41.858875982,-87.724247284,"(41.858875982, -87.724247284)"
10231848,HY419286,09/11/2015 01:04:00 PM,009XX N LARRABEE ST,1090,ARSON,ATTEMPT ARSON,SMALL RETAIL STORE,True,False,1823,18,27.0,8,09,1172176.0,1906606.0,2015,02/10/2018 03:50:01 PM,41.899176885,-87.64304338,"(41.899176885, -87.64304338)"
